Facility ID,Facility Name,Address,City,State,ZIP Code,County Name,HBIPS-2 Measure Description,HBIPS-2 Overall Num,HBIPS-3 Measure Description,HBIPS-3 Overall Num,HBIPS-5 Measure Description,HBIPS-5 Denominator,SUB-2/-2a Measure Description,SUB-2 Denominator,TOB-2/-2a Measure_Desc,TOB-2 Denominator,FUH Measure Description,FUH-30 %,READM-30-IPF Measure Desc,READM-30-IPF Category,Location
190065,BATON ROUGE GENERAL MEDICAL CENTER,3600 FLORIDA BLVD,BATON ROUGE,LA,70806,E. BATON ROUGE,Hours of physical-restraint use,1.25,Hours of seclusion use,2,Patients discharged on multiple antipsychotic medications with appropriate justification,45,Alcohol use brief intervention provided or offered,81,Tobacco use treatment provided or offered,236,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,57.6,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Worse Than the National Rate,"3600 FLORIDA BLVD BATON ROUGE, LA 70806 (30.450336, -91.154638)"
261337,MISSOURI BAPTIST SULLIVAN HOSPITAL,751 SAPPINGTON BRIDGE RD,SULLIVAN,MO,63080,FRANKLIN,Hours of physical-restraint use,0,Hours of seclusion use,0,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Alcohol use brief intervention provided or offered,28,Tobacco use treatment provided or offered,135,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,63.8,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,"751 SAPPINGTON BRIDGE RD SULLIVAN, MO 63080 (38.195574, -91.169288)"
334045,ELMIRA PSYCH CENTER,WASHINGTON ST,ELMIRA,NY,14901,CHEMUNG,Hours of physical-restraint use,66.55,Hours of seclusion use,0,Patients discharged on multiple antipsychotic medications with appropriate justification,62,Alcohol use brief intervention provided or offered,16,Tobacco use treatment provided or offered,58,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,80,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Number of Cases Too Small,
364029,WINDSOR LAURELWOOD CENTER FOR BEHAVORIAL MEDICINE,35900 EUCLID AVENUE,WILLOUGHBY,OH,44094,LAKE,Hours of physical-restraint use,35.86,Hours of seclusion use,23.66,Patients discharged on multiple antipsychotic medications with appropriate justification,38,Alcohol use brief intervention provided or offered,266,Tobacco use treatment provided or offered,489,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,51.7,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,"35900 EUCLID AVENUE WILLOUGHBY, OH 44094 (41.626159, -81.433996)"
390070,LOWER BUCKS HOSPITAL,501 BATH ROAD,BRISTOL,PA,19007,BUCKS,Hours of physical-restraint use,4,Hours of seclusion use,8.83,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Alcohol use brief intervention provided or offered,57,Tobacco use treatment provided or offered,176,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,53.8,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,"501 BATH ROAD BRISTOL, PA 19007 (40.104065, -74.864626)"
404005,SAN JUAN CAPESTRANO  HOSPITAL INC,CARR 877 KM 1 6 CAMINO LAS LOMAS RR2,RIO PIEDRAS,PR,928,SAN JUAN,Hours of physical-restraint use,130.41,Hours of seclusion use,20,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Alcohol use brief intervention provided or offered,148,Tobacco use treatment provided or offered,169,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,55.7,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,
450042,PROVIDENCE HEALTH CENTER,6901 MEDICAL PARKWAY,WACO,TX,76712,MC LENNAN,Hours of physical-restraint use,5.43,Hours of seclusion use,0,Patients discharged on multiple antipsychotic medications with appropriate justification,23,Alcohol use brief intervention provided or offered,181,Tobacco use treatment provided or offered,69,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,61.7,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,"6901 MEDICAL PARKWAY WACO, TX 76712 (31.513243, -97.198431)"
460006,LDS HOSPITAL,8TH AVENUE AND C STREET,SALT LAKE CITY,UT,84143,SALT LAKE,Hours of physical-restraint use,16.28,Hours of seclusion use,306,Patients discharged on multiple antipsychotic medications with appropriate justification,12,Alcohol use brief intervention provided or offered,69,Tobacco use treatment provided or offered,271,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,56.5,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,"8TH AVENUE AND C STREET SALT LAKE CITY, UT 84143 (40.778509, -111.880576)"
490118,HENRICO DOCTORS' HOSPITAL,1602 SKIPWITH ROAD,RICHMOND,VA,23229,HENRICO,Hours of physical-restraint use,2.77,Hours of seclusion use,5.13,Patients discharged on multiple antipsychotic medications with appropriate justification,25,Alcohol use brief intervention provided or offered,194,Tobacco use treatment provided or offered,380,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,46.7,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Worse Than the National Rate,"1602 SKIPWITH ROAD RICHMOND, VA 23229 (37.604045, -77.537717)"
504008,LOURDES COUNSELING CENTER,1175 CARONDELET DRIVE,RICHLAND,WA,99352,BENTON,Hours of physical-restraint use,14.23,Hours of seclusion use,127.98,Patients discharged on multiple antipsychotic medications with appropriate justification,76,Alcohol use brief intervention provided or offered,93,Tobacco use treatment provided or offered,268,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,68.2,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,"1175 CARONDELET DRIVE RICHLAND, WA 99352 (46.283956, -119.280899)"
510062,BECKLEY ARH HOSPITAL,306 STANAFORD ROAD,BECKLEY,WV,25801,RALEIGH,Hours of physical-restraint use,0,Hours of seclusion use,0,Patients discharged on multiple antipsychotic medications with appropriate justification,42,Alcohol use brief intervention provided or offered,67,Tobacco use treatment provided or offered,205,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,58.3,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,"306 STANAFORD ROAD BECKLEY, WV 25801 (37.798718, -81.169502)"
204004,DOROTHEA DIX PSYCHIATRIC CENTER,656 STATE STREET,BANGOR,ME,4401,PENOBSCOT,Hours of physical-restraint use,16.38,Hours of seclusion use,88.4,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Alcohol use brief intervention provided or offered,Not Available,Tobacco use treatment provided or offered,15,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,57.1,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,"656 STATE STREET BANGOR, ME 04401 (44.812156, -68.741695)"
304000,NEW HAMPSHIRE HOSP-PSYCH UNIT,36 CLINTON STREET,CONCORD,NH,3301,MERRIMACK,Hours of physical-restraint use,521.95,Hours of seclusion use,3129.88,Patients discharged on multiple antipsychotic medications with appropriate justification,107,Alcohol use brief intervention provided or offered,62,Tobacco use treatment provided or offered,105,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,51.4,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,"36 CLINTON STREET CONCORD, NH 03301 (43.193245, -71.543572)"
34026,VALLEY HOSPITAL,3550 EAST PINCHOT AVENUE,PHOENIX,AZ,85018,MARICOPA,Hours of physical-restraint use,4.3,Hours of seclusion use,0,Patients discharged on multiple antipsychotic medications with appropriate justification,22,Alcohol use brief intervention provided or offered,293,Tobacco use treatment provided or offered,565,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,44,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,"3550 EAST PINCHOT AVENUE PHOENIX, AZ 85018 (33.482291, -112.005315)"
424002,LIGHTHOUSE BEHAVIORAL HEALTH HOSPITAL,152 WACCAMAW MEDICAL PARK DRIVE,CONWAY,SC,29526,HORRY,Hours of physical-restraint use,20.45,Hours of seclusion use,0,Patients discharged on multiple antipsychotic medications with appropriate justification,33,Alcohol use brief intervention provided or offered,54,Tobacco use treatment provided or offered,260,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,34.6,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,"152 WACCAMAW MEDICAL PARK DRIVE CONWAY, SC 29526 (33.787937, -78.997758)"
334048,GRACIE SQUARE HOSP,420 EAST 76 ST,NEW YORK,NY,10021,NEW YORK,Hours of physical-restraint use,70.63,Hours of seclusion use,152.3,Patients discharged on multiple antipsychotic medications with appropriate justification,44,Alcohol use brief intervention provided or offered,178,Tobacco use treatment provided or offered,201,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,55.6,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,"420 EAST 76 ST NEW YORK, NY 10021 (40.76987, -73.952866)"
524026,WAUKESHA COUNTY MENTAL HEALTH CTR,1501 AIRPORT RD,WAUKESHA,WI,53188,WAUKESHA,Hours of physical-restraint use,43.5,Hours of seclusion use,50.82,Patients discharged on multiple antipsychotic medications with appropriate justification,63,Alcohol use brief intervention provided or offered,308,Tobacco use treatment provided or offered,333,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,63.5,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,"1501 AIRPORT RD WAUKESHA, WI 53188 (43.025251, -88.233622)"
490009,UNIVERSITY OF VIRGINIA MEDICAL CENTER,1215 LEE STREET,CHARLOTTESVILLE,VA,22908,CHARLOTTESVILLE CITY,Hours of physical-restraint use,102.59,Hours of seclusion use,0,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Alcohol use brief intervention provided or offered,196,Tobacco use treatment provided or offered,253,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,47.6,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,"1215 LEE STREET CHARLOTTESVILLE, VA 22908 (38.031829, -78.498455)"
344026,CHERRY HOSPITAL,1401 WEST ASH STREET,GOLDSBORO,NC,27530,WAYNE,Hours of physical-restraint use,202.95,Hours of seclusion use,305.32,Patients discharged on multiple antipsychotic medications with appropriate justification,69,Alcohol use brief intervention provided or offered,94,Tobacco use treatment provided or offered,314,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,46.7,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,
251317,SIMPSON GENERAL HOSPITAL CAH,1842 SIMPSON HIGHWAY 149,MENDENHALL,MS,39114,SIMPSON,Hours of physical-restraint use,0,Hours of seclusion use,0,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Alcohol use brief intervention provided or offered,Not Available,Tobacco use treatment provided or offered,Not Available,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,46.7,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,"1842 SIMPSON HIGHWAY 149 MENDENHALL, MS 39114 (31.968094, -89.886996)"
440012,WELLMONT BRISTOL REGIONAL MEDICAL CENTER,ONE MEDICAL PARK BLVD,BRISTOL,TN,37620,SULLIVAN,Hours of physical-restraint use,0,Hours of seclusion use,1.25,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Alcohol use brief intervention provided or offered,86,Tobacco use treatment provided or offered,304,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,55.6,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,
450537,METHODIST RICHARDSON MEDICAL CENTER,2831 E PRESIDENT GEORGE BUSH HIGHWAY,RICHARDSON,TX,75082,COLLIN,Hours of physical-restraint use,14.65,Hours of seclusion use,0,Patients discharged on multiple antipsychotic medications with appropriate justification,13,Alcohol use brief intervention provided or offered,124,Tobacco use treatment provided or offered,198,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,43.8,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Worse Than the National Rate,"2831 E PRESIDENT GEORGE BUSH HIGHWAY RICHARDSON, TX 75082 (32.996143, -96.669176)"
194096,OCEANS BEHAVIORAL HOSPITAL OF ALEXANDRIA,2621 NORTH BOLTON AVENUE,ALEXANDRIA,LA,71303,RAPIDES,Hours of physical-restraint use,0.18,Hours of seclusion use,1.52,Patients discharged on multiple antipsychotic medications with appropriate justification,27,Alcohol use brief intervention provided or offered,52,Tobacco use treatment provided or offered,183,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,51.8,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,"2621 NORTH BOLTON AVENUE ALEXANDRIA, LA 71303 (31.324607, -92.479261)"
334009,NEW YORK STATE PSYCHIATRIC INSTITUTE,722 W 168TH ST,NEW YORK,NY,10032,NEW YORK,Hours of physical-restraint use,0,Hours of seclusion use,0,Patients discharged on multiple antipsychotic medications with appropriate justification,19,Alcohol use brief intervention provided or offered,15,Tobacco use treatment provided or offered,41,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Number of Cases Too Small,"722 W 168TH ST NEW YORK, NY 10032 (40.842156, -73.942279)"
454132,SAN ANTONIO BEHAVIORAL HEALTHCARE HOSPITAL,8550 HUEBNER ROAD,SAN ANTONIO,TX,78240,BEXAR,Hours of physical-restraint use,25.09,Hours of seclusion use,33.2,Patients discharged on multiple antipsychotic medications with appropriate justification,27,Alcohol use brief intervention provided or offered,103,Tobacco use treatment provided or offered,258,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,46.4,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Worse Than the National Rate,"8550 HUEBNER ROAD SAN ANTONIO, TX 78240 (29.517116, -98.60638)"
114019,GEORGIA REGIONAL HOSPITAL ATLANTA,3073 PANTHERSVILLE ROAD,DECATUR,GA,30034,DE KALB,Hours of physical-restraint use,8679.12,Hours of seclusion use,258.8,Patients discharged on multiple antipsychotic medications with appropriate justification,223,Alcohol use brief intervention provided or offered,55,Tobacco use treatment provided or offered,341,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,29.4,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,"3073 PANTHERSVILLE ROAD DECATUR, GA 30034 (33.694288, -84.271981)"
444007,ROLLING HILLS PSYCHIATRIC HOSPITAL,2014 QUAIL HOLLOW CIRCLE,FRANKLIN,TN,37067,WILLIAMSON,Hours of physical-restraint use,37.96,Hours of seclusion use,11.41,Patients discharged on multiple antipsychotic medications with appropriate justification,72,Alcohol use brief intervention provided or offered,88,Tobacco use treatment provided or offered,268,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,52.7,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,"2014 QUAIL HOLLOW CIRCLE FRANKLIN, TN 37067 (35.913836, -86.816709)"
374012,"BROOKHAVEN HOSPITAL, INC",201 SOUTH GARNETT ROAD,TULSA,OK,74128,TULSA,Hours of physical-restraint use,4.45,Hours of seclusion use,173.88,Patients discharged on multiple antipsychotic medications with appropriate justification,13,Alcohol use brief intervention provided or offered,230,Tobacco use treatment provided or offered,470,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,56.3,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,"201 SOUTH GARNETT ROAD TULSA, OK 74128 (36.158032, -95.851194)"
370019,GREAT PLAINS REGIONAL MEDICAL CENTER,1801 WEST 3RD STREET,ELK CITY,OK,73644,BECKHAM,Hours of physical-restraint use,0,Hours of seclusion use,0,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Alcohol use brief intervention provided or offered,Not Available,Tobacco use treatment provided or offered,13,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,"1801 WEST 3RD STREET ELK CITY, OK 73644 (35.411721, -99.425654)"
240010,MAYO CLINIC HOSPITAL ROCHESTER,1216 SECOND STREET SOUTHWEST,ROCHESTER,MN,55902,OLMSTED,Hours of physical-restraint use,105.6,Hours of seclusion use,543.1,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Alcohol use brief intervention provided or offered,100,Tobacco use treatment provided or offered,134,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,67.8,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Better Than the National Rate,"1216 SECOND STREET SOUTHWEST ROCHESTER, MN 55902 (44.021643, -92.481355)"
44006,VALLEY BEHAVIORAL HEALTH SYSTEM,10301 MAYO DRIVE,BARLING,AR,72923,SEBASTIAN,Hours of physical-restraint use,132.63,Hours of seclusion use,364.85,Patients discharged on multiple antipsychotic medications with appropriate justification,12,Alcohol use brief intervention provided or offered,16,Tobacco use treatment provided or offered,138,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,50,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,"10301 MAYO DRIVE BARLING, AR 72923 (35.340633, -94.313322)"
454114,CEDAR CREST HOSPITAL & RTC,3500 SOUTH IH-35,BELTON,TX,76513,BELL,Hours of physical-restraint use,7.93,Hours of seclusion use,36.78,Patients discharged on multiple antipsychotic medications with appropriate justification,15,Alcohol use brief intervention provided or offered,51,Tobacco use treatment provided or offered,82,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,43.8,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,"3500 SOUTH IH-35 BELTON, TX 76513 (31.021886, -97.478113)"
154011,COMMUNITY MENTAL HEALTH CENTER INC,285 BIELBY RD,LAWRENCEBURG,IN,47025,DEARBORN,Hours of physical-restraint use,15.32,Hours of seclusion use,0.25,Patients discharged on multiple antipsychotic medications with appropriate justification,11,Alcohol use brief intervention provided or offered,33,Tobacco use treatment provided or offered,89,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,78.3,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,"285 BIELBY RD LAWRENCEBURG, IN 47025 (39.111319, -84.88187)"
360044,WAYNE HEALTHCARE,835 SWEITZER STREET,GREENVILLE,OH,45331,DARKE,Hours of physical-restraint use,4.87,Hours of seclusion use,0,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Alcohol use brief intervention provided or offered,Not Available,Tobacco use treatment provided or offered,15,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,"835 SWEITZER STREET GREENVILLE, OH 45331 (40.088508, -84.635099)"
110115,WELLSTAR ATLANTA MEDICAL CENTER,"303 PARKWAY DRIVE, NE",ATLANTA,GA,30312,FULTON,Hours of physical-restraint use,52.93,Hours of seclusion use,31,Patients discharged on multiple antipsychotic medications with appropriate justification,13,Alcohol use brief intervention provided or offered,68,Tobacco use treatment provided or offered,193,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,27,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,"303 PARKWAY DRIVE, NE ATLANTA, GA 30312 (33.76327, -84.373986)"
